Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt0102749,7,2000-10-15,A Rage in Harlem,https://www.imdb.com/title/tt0102749/,movie,5.9,115,1991,"Comedy, Crime",1846,1991-05-03,Bill Duke
tt0103030,4,2001-05-22,Tacones lejanos,https://www.imdb.com/title/tt0103030/,movie,7.1,112,1991,"Comedy, Drama, Romance",13122,1991-10-23,Pedro Almodóvar
tt0103064,9,2001-09-13,Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/,movie,8.5,137,1991,"Action, Sci-Fi",958987,1991-07-01,James Cameron
tt1032755,6,2013-01-03,RocknRolla,https://www.imdb.com/title/tt1032755/,movie,7.3,114,2008,"Action, Crime, Thriller",227765,2008-09-04,Guy Ritchie
tt1032854,8,2013-11-12,L'avocat de la terreur,https://www.imdb.com/title/tt1032854/,movie,7.2,135,2007,"Documentary, Biography, History",1455,2007-05-18,Barbet Schroeder
tt0103594,8,2012-06-15,1492: Conquest of Paradise,https://www.imdb.com/title/tt0103594/,movie,6.5,154,1992,"Adventure, Biography, Drama, History",27186,1992-10-08,Ridley Scott
tt0103639,1,2000-06-05,Aladdin,https://www.imdb.com/title/tt0103639/,movie,8.0,90,1992,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",354416,1992-11-08,"Ron Clements, John Musker"
tt0103644,6,2001-06-07,Alien³,https://www.imdb.com/title/tt0103644/,movie,6.5,114,1992,"Action, Horror, Sci-Fi",267113,1992-05-19,David Fincher
tt0103767,8,2013-03-30,Baraka,https://www.imdb.com/title/tt0103767/,movie,8.6,96,1992,Documentary,34713,1992-08-31,Ron Fricke
tt0103905,10,2000-02-22,C'est arrivé près de chez vous,https://www.imdb.com/title/tt0103905/,movie,7.5,95,1992,"Comedy, Crime, Drama",34812,1992-05-31,"Rémy Belvaux, André Bonzel, Benoît Poelvoorde"
tt0104036,7,2000-10-28,The Crying Game,https://www.imdb.com/title/tt0104036/,movie,7.2,112,1992,"Crime, Drama, Romance, Thriller",49259,1992-09-02,Neil Jordan
tt1045658,7,2014-03-01,Silver Linings Playbook,https://www.imdb.com/title/tt1045658/,movie,7.7,122,2012,"Comedy, Drama, Romance",642477,2012-09-08,David O. Russell
tt1045670,7,2014-12-06,Happy-Go-Lucky,https://www.imdb.com/title/tt1045670/,movie,7.0,118,2008,"Comedy, Drama, Romance",36768,2008-02-12,Mike Leigh
tt1045772,7,2012-05-26,I Love You Phillip Morris,https://www.imdb.com/title/tt1045772/,movie,6.6,98,2009,"Biography, Comedy, Crime, Drama, Romance",89539,2009-01-18,"Glenn Ficarra, John Requa"
tt0104652,9,2020-02-15,Kurenai no buta,https://www.imdb.com/title/tt0104652/,movie,7.7,94,1992,"Animation, Adventure, Comedy, Fantasy, Romance",70398,1992-07-18,Hayao Miyazaki
tt0104684,8,2000-09-27,Lat sau san taam,https://www.imdb.com/title/tt0104684/,movie,7.8,128,1992,"Action, Crime, Thriller",45131,1992-04-16,John Woo
tt0104815,7,2003-01-01,El mariachi,https://www.imdb.com/title/tt0104815/,movie,6.9,81,1992,"Action, Crime, Thriller",61436,1992-09-04,Robert Rodriguez
tt1049413,8,2010-09-19,Up,https://www.imdb.com/title/tt1049413/,movie,8.2,96,2009,"Animation, Adventure, Comedy, Family",894710,2009-05-13,"Pete Docter, Bob Peterson"
tt0105032,5,2001-05-21,Les nuits fauves,https://www.imdb.com/title/tt0105032/,movie,7.0,126,1992,"Biography, Drama",2104,1992-10-21,Cyril Collard
tt0105236,9,2000-08-13,Reservoir Dogs,https://www.imdb.com/title/tt0105236/,movie,8.3,99,1992,"Crime, Drama, Thriller",879482,1992-01-21,Quentin Tarantino
tt1053424,5,2011-03-04,Repo Men,https://www.imdb.com/title/tt1053424/,movie,6.3,111,2010,"Action, Sci-Fi, Thriller",98452,2010-03-19,Miguel Sapochnik
tt0105356,9,2005-01-15,La sentinelle,https://www.imdb.com/title/tt0105356/,movie,6.7,139,1992,Thriller,699,1992-05-20,Arnaud Desplechin
tt1053810,6,2017-07-12,The Big Year,https://www.imdb.com/title/tt1053810/,movie,6.2,100,2011,Comedy,40675,2011-10-14,David Frankel
tt1056437,7,2009-02-26,Sukai kurora,https://www.imdb.com/title/tt1056437/,movie,6.8,122,2008,"Animation, Action, Adventure, Drama, Family, Sci-Fi",5231,2008-08-02,Mamoru Oshii
tt0105695,9,2003-04-15,Unforgiven,https://www.imdb.com/title/tt0105695/,movie,8.2,130,1992,"Drama, Western",359351,1992-08-03,Clint Eastwood
tt0105698,2,2001-09-10,Universal Soldier,https://www.imdb.com/title/tt0105698/,movie,6.0,102,1992,"Action, Sci-Fi",80190,1992-07-10,Roland Emmerich
tt0105738,7,2000-04-12,Versailles Rive-Gauche,https://www.imdb.com/title/tt0105738/,movie,7.0,45,1992,"Comedy, Romance",226,1992-06-17,Bruno Podalydès
tt0105750,7,2012-06-09,La vie de bohème,https://www.imdb.com/title/tt0105750/,movie,7.7,103,1992,"Comedy, Drama, Romance",4739,1992-02-18,Aki Kaurismäki
tt1058017,3,2010-05-16,The Invention of Lying,https://www.imdb.com/title/tt1058017/,movie,6.4,100,2009,"Comedy, Fantasy, Romance",117153,2009-09-14,"Matthew Robinson, Ricky Gervais"
tt0105888,8,2002-12-22,Zendegi va digar hich,https://www.imdb.com/title/tt0105888/,movie,7.9,95,1992,"Adventure, Drama",3919,1992-02-01,Abbas Kiarostami
tt1060277,5,2008-11-14,Cloverfield,https://www.imdb.com/title/tt1060277/,movie,7.0,85,2008,"Action, Adventure, Horror, Mystery, Sci-Fi, Thriller",363241,2008-01-16,Matt Reeves
tt0106226,9,2001-04-12,The Age of Innocence,https://www.imdb.com/title/tt0106226/,movie,7.2,139,1993,"Drama, Romance",47957,1993-08-31,Martin Scorsese
tt0106307,8,2000-03-15,Arizona Dream,https://www.imdb.com/title/tt0106307/,movie,7.4,142,1993,"Comedy, Drama, Fantasy, Romance",39910,1993-01-06,Emir Kusturica
tt0106387,7,2001-08-06,Benny & Joon,https://www.imdb.com/title/tt0106387/,movie,7.2,98,1993,"Comedy, Drama, Romance",53172,1993-04-23,Jeremiah S. Chechik
tt1064861,7,2015-08-08,De la guerre,https://www.imdb.com/title/tt1064861/,movie,6.2,130,2008,"Comedy, Drama, War",372,2008-05-17,Bertrand Bonello
tt1064932,7,2008-10-06,Bienvenue chez les Ch'tis,https://www.imdb.com/title/tt1064932/,movie,7.1,106,2008,"Comedy, Romance",38113,2008-01-17,Dany Boon
tt1065073,9,2015-06-29,Boyhood,https://www.imdb.com/title/tt1065073/,movie,7.9,165,2014,Drama,326397,2014-01-19,Richard Linklater
tt0106519,8,2002-12-06,Carlito's Way,https://www.imdb.com/title/tt0106519/,movie,7.9,144,1993,"Crime, Drama, Thriller",192976,1993-11-07,Brian De Palma
tt1065318,8,2009-04-19,To verdener,https://www.imdb.com/title/tt1065318/,movie,7.0,116,2008,Drama,2749,2008-02-11,Niels Arden Oplev
tt0106677,8,2012-04-16,Dazed and Confused,https://www.imdb.com/title/tt0106677/,movie,7.6,102,1993,Comedy,156892,1993-06-04,Richard Linklater
tt0106856,7,2003-10-14,Falling Down,https://www.imdb.com/title/tt0106856/,movie,7.6,113,1993,"Crime, Drama, Thriller",162905,1993-02-26,Joel Schumacher
tt1068646,8,2009-08-11,Entre les murs,https://www.imdb.com/title/tt1068646/,movie,7.5,128,2008,Drama,33167,2008-05-24,Laurent Cantet
tt0106866,2,2000-06-05,Fanfan,https://www.imdb.com/title/tt0106866/,movie,6.9,85,1993,"Comedy, Romance",2653,1993-06-16,Alexandre Jardin
